"","state","tweets","hoax","date","fips","cases","deaths","rank","pop","growth","Pop2018","Pop2010","growthSince2010","Percent","density","iusers","users","tweetsPC","iusersh","hoaxsh","deathOcases","casesPC","deathsPC","MM","hoaxshXdensity","tweetsPCXdensity","saved"
"1","Alabama",5756,84,"2020-04-18",1,4723,147,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,25,2932,1.17263076534122,0.00852660300136426,1.4593467685893,0.0311242854118145,0.962184695049791,0.0299473110676094,-0.962154747738723,-160.162426288097,-128.695518131492,2488.18634566385
"2","Alaska",1315,19,"2020-04-18",2,312,7,49,734.002,-0.0047,737438,713906,0.0281,0.0022,1.2863,9,589,1.79154825191212,0.0152801358234295,1.44486692015209,0.0224358974358974,0.425066961670404,0.00953675875542573,-0.425057424911649,-296.754275471405,-367.957488716179,197.500263969268
"3","Arizona",15280,210,"2020-04-18",4,4719,181,14,7378.494,0.0288,7171646,6407774,0.1515,0.0221,64.955,65,6569,2.07088329949174,0.00989496118130613,1.37434554973822,0.0383555838101293,0.639561406433345,0.0245307511261783,-0.639536875682219,-194.767435489903,-293.478324659836,2976.18453090388
"4","Arkansas",2734,14,"2020-04-18",5,1777,38,33,3038.999,0.0084,3013825,2921978,0.04,0.0091,58.403,10,1438,0.899638334859603,0.00695410292072323,0.512070226773958,0.0213843556555993,0.584732012086875,0.0125041173096799,-0.584719507969565,-75.923882328352,-133.388022780138,439.548825725475
"5","California",105205,719,"2020-04-18",6,30829,1146,1,39937.489,0.0096,39557045,37320903,0.0701,0.1194,256.3727,304,53568,2.63424172711509,0.00567502986857826,0.683427593745544,0.0371727918518278,0.771931355023347,0.0286948435841823,-0.771902660179763,33.9671743117664,130.9249856797,16812.8013848311
"6","Colorado",10495,78,"2020-04-18",8,9433,409,21,5845.526,0.0263,5695564,5048281,0.1579,0.0175,56.4011,44,5213,1.79539018387738,0.00844043736811817,0.743211052882325,0.043358422559101,1.61371277794334,0.069968040515088,-1.61364280990282,-111.682619167534,-269.793993759204,1212.45558540814
"7","Connecticut",5432,18,"2020-04-18",9,17550,1086,29,3563.077,-0.0027,3572665,3579125,-0.0045,0.0107,735.8689,13,2416,1.524525010265,0.00538079470198675,0.331369661266568,0.0618803418803419,4.92551802837828,0.304792739533836,-4.92521323563875,175.359964533678,806.774677889765,1681.08025770461
"8","Delaware",1300,2,"2020-04-18",10,2538,67,46,982.895,0.0163,967171,899595,0.0926,0.0029,504.3073,2,533,1.32262347453187,0.00375234521575985,0.153846153846154,0.0263987391646966,2.58216798335529,0.068165979072027,-2.58209981737622,45.7901237048666,393.660101339535,156.308235979377
"9","Florida",44785,381,"2020-04-18",12,25484,747,3,21992.985,0.0326,21299325,18845785,0.167,0.0658,410.1256,170,20371,2.03633113013081,0.00834519660301409,0.850731271631126,0.0293125098100769,1.15873311421801,0.0339653757777764,-1.15869914884223,173.084768683939,414.299925694303,16371.6054730734
"10","Georgia",21394,83,"2020-04-18",13,17014,670,8,10736.059,0.0206,10519475,9711810,0.1055,0.0321,186.6719,54,11322,1.9927237732207,0.00476947535771065,0.387959240908666,0.0393793346655695,1.58475284087019,0.0624065124828394,-1.58469043435771,-7.75902805096986,-39.8536702413382,2076.54893987336
"11","Hawaii",2610,7,"2020-04-18",15,568,9,41,1412.687,-0.0055,1420491,1363963,0.0357,0.0042,219.9419,7,1309,1.84754301554414,0.0053475935828877,0.268199233716475,0.0158450704225352,0.402070663919184,0.00637083798463495,-0.402064293081199,3.55911220580186,24.5176423744688,210.129234916418
"12","Idaho",2867,11,"2020-04-18",16,1577,44,39,1826.156,0.041,1754208,1570773,0.1626,0.0055,22.0969,11,1239,1.56996444991556,0.00887812752219532,0.38367631670736,0.0279010779961953,0.863562587205036,0.0240943271002039,-0.863538492877936,-70.8169011197084,-289.775553949366,155.045601867036
"13","Illinois",26985,176,"2020-04-18",17,29160,1272,6,12659.682,-0.0064,12741080,12840762,-0.0141,0.0379,228.0243,70,13366,2.13157012948666,0.00523716893610654,0.652214193070224,0.0436213991769547,2.30337539284162,0.100476457465519,-2.30327491638416,13.9266018838886,45.5149993611891,4691.6985804344
"14","Indiana",10968,85,"2020-04-18",18,10641,545,17,6745.354,0.008,6691878,6490436,0.0393,0.0202,188.281,10,5199,1.62600806421724,0.00192344681669552,0.774981765134938,0.0512169908843154,1.57753025267466,0.0807963525709696,-1.57744945632208,-14.2522989885232,-29.9030946682195,2620.36937285667
"15","Iowa",2918,15,"2020-04-18",19,2513,74,31,3179.849,0.0075,3156145,3050767,0.0423,0.0095,56.9284,8,1604,0.917653637012324,0.00498753117206983,0.514050719671008,0.0294468762435336,0.7902890986333,0.0232715452840685,-0.790265827088016,-76.9755462226015,-137.412296586975,457.638747102576
"16","Kansas",3273,9,"2020-04-18",20,1820,86,36,2910.357,-4e-04,2911505,2858213,0.0182,0.0087,35.5968,8,1776,1.12460430112182,0.0045045045045045,0.274977085242896,0.0472527472527473,0.625352834720964,0.0295496394428587,-0.625323285081521,-47.0416212424475,-192.391338842904,195.293586854352
"17","Kentucky",5610,27,"2020-04-18",21,2707,145,26,4499.692,0.007,4468402,4348200,0.0348,0.0135,113.9566,20,2739,1.24675199991466,0.00730193501277839,0.481283422459893,0.0535648319172516,0.601596731509623,0.0322244278052809,-0.601564507081818,-44.6221424206046,-115.592481908104,814.376989933535
"18","Louisiana",8467,53,"2020-04-18",22,23580,1267,25,4645.184,-0.0032,4659978,4544532,0.0221,0.0139,107.5175,19,4685,1.82274803323184,0.00405549626467449,0.625959607889453,0.0537319762510602,5.07622518289911,0.272755610972569,-5.07595242728813,-62.0663964057337,-180.732751047282,1061.88688264777
"19","Maine",1690,9,"2020-04-18",23,847,32,43,1345.79,0.0055,1338404,1327632,0.0137,0.004,43.6336,8,809,1.25576798757607,0.00988875154511743,0.532544378698225,0.0377804014167651,0.629370109749664,0.0237778553860558,-0.629346331894278,-86.8249149861128,-204.737770456045,184.599312803129
"20","Maryland",11117,24,"2020-04-18",24,12308,463,19,6083.116,0.0067,6042718,5788642,0.0509,0.0182,626.6731,17,5623,1.82751734472925,0.00302329717232794,0.21588558064226,0.0376178095547611,2.02330516136796,0.076112308231505,-2.02322904905973,90.6722901678437,767.56021627329,1628.2270400451
"21","Massachusetts",19539,106,"2020-04-18",25,36372,1560,15,6976.597,0.0108,6902149,6566431,0.0625,0.0209,894.4355,48,9795,2.80064908436018,0.00490045941807044,0.542504734121501,0.0428901352688882,5.2134299859946,0.223604717314186,-5.21320638127729,373.115228172645,1926.18562828712,6399.96181588357
"22","Michigan",12881,62,"2020-04-18",26,30717,2307,10,10045.029,0.0049,9995915,9877535,0.017,0.03,177.6655,42,6957,1.28232581508724,0.00603708495040966,0.481329089356416,0.0751049907217502,3.05793044499921,0.229665837699423,-3.05770077916151,-13.9614296012637,-37.1951373584377,2337.12238934117
"23","Minnesota",8681,34,"2020-04-18",27,2213,121,22,5700.671,0.0159,5611179,5310843,0.0734,0.017,71.5922,24,4086,1.52280319281713,0.00587371512481645,0.391659947010713,0.0546769091730682,0.388199915413466,0.0212255715160549,-0.38817868984195,-52.9051498816322,-205.699183107979,680.252829244198
"24","Mississippi",2845,9,"2020-04-18",28,3974,152,35,2989.26,9e-04,2986530,2970536,0.0063,0.0089,63.7056,9,1539,0.951740564554438,0.00584795321637427,0.31634446397188,0.0382486160040262,1.32942601178887,0.0508487050306765,-1.32937516308384,-45.2264697105556,-136.066442493378,275.546027491406
"25","Missouri",9568,42,"2020-04-18",29,5517,194,18,6169.27,0.007,6126452,5995976,0.0289,0.0185,89.7453,34,4522,1.55091283085357,0.0075187969924812,0.438963210702341,0.0351640384266812,0.894271121218556,0.0314461840704005,-0.894239675034486,-51.3262983755375,-181.342337512694,907.90380771297
