"","state","date","tweets","hoax","fips","cases","deaths","rank","pop","growth","Pop2018","Pop2010","growthSince2010","Percent","density","one","stweets","hoaxsh","nn","cumtweets","cumhoax","casesPC","deathsPC","datex","tweetsPC","L1hoaxsh","L2hoaxsh","L1cases","hoaxshXdensity","Dcases","DcasesPC","mtweetsPC","mhoaxsh","mdensity","tweetsPCXdensity"
"1","Alabama",2020-03-23,162,16,1,196,0,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,162,9.87654320987654,1,162,16,0.0399297480901459,0,2020-03-23,0.330031591357328,9.87654320987654,9.87654320987654,196,-1056.58072098765,0,0,0.446601736382587,0.35588698452728,203.900898,-35.3063829454342
"2","Alabama",2020-03-24,148,1,1,242,0,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,148,5.48387096774194,2,310,17,0.0493010154990577,0,2020-03-24,0.631541934078838,5.48387096774194,5.48387096774194,242,-586.657924516129,0,0,0.854902606082873,0.284735044828347,203.900898,-67.5615969943493
"3","Alabama",2020-03-25,203,7,1,386,1,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,203,4.67836257309941,3,513,24,0.0786371569530424,0.000203723204541561,2020-03-25,1.04510003929821,4.67836257309941,4.67836257309941,386,-500.485604678363,0,0,1.4136488181593,0.537442017526092,203.900898,-111.803545993875
"4","Alabama",2020-03-26,308,5,1,538,3,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,308,3.53227771010962,4,821,29,0.10960308404336,0.000611169613624682,2020-03-26,1.67256750928621,3.53227771010962,3.53227771010962,538,-377.87882362972,0,0,2.22875206262975,0.48334322789808,203.900898,-178.929261717293
"5","Alabama",2020-03-27,85,0,1,639,4,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,85,3.20088300220751,5,906,29,0.130179127702057,0.000814892818166243,2020-03-27,1.84573223314654,3.20088300220751,3.20088300220751,639,-342.42661611479,0,0,2.44813175000002,0.488528420356186,203.900898,-197.454215731873
"6","Alabama",2020-03-28,7,0,1,720,4,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,7,3.1763417305586,6,913,29,0.146680707269924,0.000814892818166243,2020-03-28,1.85999285746445,3.1763417305586,3.1763417305586,720,-389.338154197819,0,0,2.52225190802726,0.512163315957607,219.496491304348,-227.987492334139
"7","Alabama",2020-03-29,47,1,1,830,5,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,47,3.125,7,960,30,0.169090259769495,0.0010186160227078,2020-03-29,1.95574276359898,3.125,3.125,830,-334.30874375,0,0,2.62859524428146,0.623893440155147,203.900898,-209.223010047017
"8","Alabama",2020-03-30,97,7,1,947,11,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,97,3.50047303689688,8,1057,37,0.192925874700858,0.00224095524995717,2020-03-30,2.1533542720043,3.50047303689688,3.50047303689688,947,-374.476397918638,0,0,2.88751126732879,0.854384883343553,203.900898,-230.363251687185
"9","Alabama",2020-03-31,164,1,1,999,13,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,164,3.11220311220311,9,1221,38,0.203519481337019,0.00264840165904029,2020-03-31,2.48746032745246,3.11220311220311,3.11220311220311,999,-332.939748075348,0,0,3.27416992018024,0.92162012762619,203.900898,-266.10551590355
"10","Alabama",2020-04-01,190,0,1,1106,28,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,190,2.69312544294826,10,1411,38,0.225317864222966,0.0057042497271637,2020-04-01,2.87453441608142,2.69312544294826,2.69312544294826,1106,-288.107322749823,0,0,3.86628231992541,0.880775936615251,203.900898,-307.514236642022
