"","sixh","country","tweets","igtweets","hoaxsh","date"
"1","2020-03-23","other",267470,332,0.124126070213482,2020-03-23
"2","2020-03-23","UK",6968,19,0.272675086107922,2020-03-23
"3","2020-03-23","US",17256,89,0.515762633286973,2020-03-23
"4","2020-03-24","other",332327,356,0.10712340556139,2020-03-24
"5","2020-03-24","UK",5090,3,0.0589390962671906,2020-03-24
"6","2020-03-24","US",16494,81,0.491087668242997,2020-03-24
"7","2020-03-25","other",431652,2241,0.519168218842957,2020-03-25
"8","2020-03-25","UK",8827,65,0.736377025036819,2020-03-25
"9","2020-03-25","US",22490,221,0.982658959537572,2020-03-25
"10","2020-03-26","other",548908,983,0.179082833553164,2020-03-26
"11","2020-03-26","UK",10574,21,0.198600340457727,2020-03-26
"12","2020-03-26","US",32356,155,0.479045617505254,2020-03-26
"13","2020-03-27","other",154699,460,0.297351631232264,2020-03-27
"14","2020-03-27","UK",2999,21,0.700233411137046,2020-03-27
"15","2020-03-27","US",8785,71,0.808195788275469,2020-03-27
"16","2020-03-28","other",16270,620,3.81069452980946,2020-03-28
"17","2020-03-28","UK",511,19,3.71819960861057,2020-03-28
"18","2020-03-28","US",1307,70,5.3557765876052,2020-03-28
"19","2020-03-29","other",94593,2383,2.51921389531995,2020-03-29
"20","2020-03-29","UK",2093,144,6.88007644529384,2020-03-29
"21","2020-03-29","US",6157,148,2.40376806886471,2020-03-29
"22","2020-03-30","other",167371,2950,1.76255145754043,2020-03-30
"23","2020-03-30","UK",4230,121,2.86052009456265,2020-03-30
"24","2020-03-30","US",10322,354,3.42956791319512,2020-03-30
"25","2020-03-31","other",242071,1788,0.738626270804846,2020-03-31
"26","2020-03-31","UK",4870,60,1.23203285420945,2020-03-31
"27","2020-03-31","US",15893,270,1.69886113383251,2020-03-31
"28","2020-04-01","other",309306,1128,0.364687396946713,2020-04-01
"29","2020-04-01","UK",5943,41,0.689887262325425,2020-04-01
"30","2020-04-01","US",23749,163,0.686344688197398,2020-04-01
"31","2020-04-02","other",356553,998,0.279902286616576,2020-04-02
"32","2020-04-02","UK",6676,47,0.704014379868184,2020-04-02
"33","2020-04-02","US",21264,122,0.573739653875094,2020-04-02
"34","2020-04-03","other",403671,1421,0.35201934248435,2020-04-03
"35","2020-04-03","UK",8295,73,0.880048221820374,2020-04-03
"36","2020-04-03","US",25082,154,0.613986125508333,2020-04-03
"37","2020-04-04","other",542013,1761,0.324899956274112,2020-04-04
"38","2020-04-04","UK",10170,47,0.462143559488692,2020-04-04
"39","2020-04-04","US",29916,223,0.745420510763471,2020-04-04
"40","2020-04-05","other",543786,1238,0.227663088053021,2020-04-05
"41","2020-04-05","UK",11134,38,0.341296928327645,2020-04-05
"42","2020-04-05","US",29027,129,0.444413821614359,2020-04-05
"43","2020-04-06","other",538999,1720,0.319110054007521,2020-04-06
"44","2020-04-06","UK",12101,45,0.371870093380712,2020-04-06
"45","2020-04-06","US",31152,187,0.600282485875706,2020-04-06
"46","2020-04-07","other",529076,1336,0.252515706628159,2020-04-07
"47","2020-04-07","UK",11210,52,0.463871543264942,2020-04-07
"48","2020-04-07","US",32543,183,0.562332913376149,2020-04-07
"49","2020-04-08","other",528068,1306,0.247316633463872,2020-04-08
"50","2020-04-08","UK",11603,51,0.439541497888477,2020-04-08
"51","2020-04-08","US",32733,137,0.418537866984389,2020-04-08
"52","2020-04-09","other",533158,1613,0.30253695902528,2020-04-09
"53","2020-04-09","UK",12933,45,0.34794711203897,2020-04-09
"54","2020-04-09","US",32301,216,0.668709947060462,2020-04-09
"55","2020-04-10","other",517595,1551,0.299655135772177,2020-04-10
"56","2020-04-10","UK",11382,61,0.535933930767879,2020-04-10
"57","2020-04-10","US",29967,219,0.7308038842727,2020-04-10
"58","2020-04-11","other",516816,1133,0.219226958917681,2020-04-11
"59","2020-04-11","UK",11975,43,0.359081419624217,2020-04-11
"60","2020-04-11","US",26601,158,0.593962632983722,2020-04-11
"61","2020-04-12","other",359318,1510,0.420240566851647,2020-04-12
"62","2020-04-12","UK",8052,49,0.608544461003477,2020-04-12
"63","2020-04-12","US",16357,193,1.17992296875955,2020-04-12
"64","2020-04-13","other",273505,2037,0.74477614668836,2020-04-13
"65","2020-04-13","UK",5599,45,0.803714949098053,2020-04-13
"66","2020-04-13","US",18322,199,1.0861259687807,2020-04-13
"67","2020-04-14","other",537931,1915,0.355993612563693,2020-04-14
"68","2020-04-14","UK",11896,32,0.268997982515131,2020-04-14
"69","2020-04-14","US",29208,197,0.67447274719255,2020-04-14
"70","2020-04-15","other",523611,1591,0.303851523363719,2020-04-15
"71","2020-04-15","UK",12184,62,0.508864084044649,2020-04-15
"72","2020-04-15","US",31729,162,0.510573922909641,2020-04-15
"73","2020-04-16","other",537935,1657,0.308029780549695,2020-04-16
"74","2020-04-16","UK",11793,71,0.602052064784194,2020-04-16
"75","2020-04-16","US",29805,174,0.58379466532461,2020-04-16
"76","2020-04-17","other",523636,1246,0.237951554133024,2020-04-17
"77","2020-04-17","UK",11952,45,0.376506024096386,2020-04-17
"78","2020-04-17","US",29181,135,0.462629793358692,2020-04-17
"79","2020-04-18","other",532201,997,0.187335236123194,2020-04-18
"80","2020-04-18","UK",11798,41,0.347516528225123,2020-04-18
"81","2020-04-18","US",27151,92,0.338845714706641,2020-04-18
"82","2020-04-19","other",212276,233,0.109762761687614,2020-04-19
"83","2020-04-19","UK",4945,8,0.161779575328615,2020-04-19
"84","2020-04-19","US",11081,22,0.198538038083205,2020-04-19
